id;raison_sociale;matricule_fiscale;adresse;email;telephone
1;Pound c override;withdrawal plum Directeur;SQL Computers;Anstrudie_Dubois97@hotmail.fr;92967
2;Account synthesize;utilisation;Reverse-engineered Pants;Sverin_Arnaud@hotmail.fr;60498
3;mission-critical;Bedfordshire;back Frozen;Rmi47@yahoo.fr;34332
4;invoice analyzer withdrawal;Checking c;a;Andoche1@gmail.com;62601
5;Developpeur;channels Peso;Checking;Sylviane_Charpentier66@gmail.com;20926
6;Electronics b;Basse-Normandie open-source;Corse Executif Cotton;Venceslas51@hotmail.fr;9356
7;pink Baby;Customizable granular Nesle;Granite best-of-breed Bedfordshire;Anthelme.David@gmail.com;29379
8;Berkshire;Steel;turn-key Account;Claude_Cousin57@yahoo.fr;23446
9;Incredible Consultant;Kids b Bacon;Barbade Avon;Nathanal.Lefevre@yahoo.fr;11508
10;hack optical Buckinghamshire;harness Zadkine redundant;expedite primary;Adeltrude_Chevalier95@yahoo.fr;72178
