id;unite_mesure;marque;prix_unitaire;origine;delai_livraison;observation;amc;echantillon;fodec;avec_code_barre;conditionnement;prix_conditionnement
1;SAS Account digital;visionary;95028;Concrete overriding;51250;Buckinghamshire port;false;false;false;true;a Berkshire Investment;15722
2;stable;XSS Fish Assistant;96274;HTTP Salad;82240;bypassing;false;false;false;true;Checking Antigua-et-Barbuda User-centric;33793
3;generate Cotton Car;Distributed black;25347;Sleek;79503;Mexique Midi-Pyrénées;false;true;true;false;yellow;51243
4;parsing overriding deposit;9(E.U.A.-9) Awesome payment;15458;transmitting b;61725;morph Granite Salad;false;false;true;true;24/365 task-force;88619
5;Centre GB engineer;Bedfordshire Sausages;5762;program;62155;Expanded pink Royaume-Uni;true;true;true;false;withdrawal;14345
6;synthesizing teal;up Computers;50067;system;89704;b;false;true;true;false;data-warehouse Buckinghamshire;17763
7;Ukraine Delesseux matrix;Saint-Dominique Fantastic;5328;infrastructures overriding;65825;Buckinghamshire parsing;true;false;true;false;bus connecting silver;18528
8;Specialiste;Towels Monsieur-le-Prince;6090;Electronics RSS SSL;26497;transmitter bypass;true;true;false;false;Somoni;72996
9;Languedoc-Roussillon du;Home;32364;impactful Bedfordshire;92522;Frozen Wooden;false;true;false;false;solid;43052
10;Pakistan;a Producteur;84545;PNG Dollar implement;97851;primary;true;true;true;false;c silver;46444
